Radial Dist. (kpc)	H_beta
0.1	-5.20150261808632
0.165	-2.08060104723453
0.23	-11.4433057597899
0.2975	-29.1284146612834
0.3625	-52.0150261808632
0.43	-60.3374303698013
0.495	-55.135927751715
0.56	-65.5389329878877
0.6275	-69.7001350823567
0.6925	-72.8210366532085
0.76	-78.0225392712948
0.825	-76.9822387476776
0.8925	-87.3852439838502
0.9575	-92.5867466019365
1.0225	-89.4658450310847
1.09	-95.7076481727883
1.155	-96.7479486964056
1.22	-89.4658450310847
1.2875	-94.6673476491711
1.3525	-93.6270471255538
1.42	-90.506145554702
1.485	-101.949451314492
1.55	-94.6673476491711
1.6175	-91.5464460783193
1.6825	-106.110653408961
1.75	-92.5867466019365
2.08	-112.352456550665
2.41	-112.352456550665
2.475	-113.392757074282
2.6075	-121.71516126322
3.135	-122.755461786837
