Radial Dist. (kpc)	OIII
0.1	-12.4836062834072
0.165	-12.4836062834072
0.23	-13.5239068070244
0.2975	-37.4508188502215
0.3625	-35.370217802987
0.43	-65.5389329878877
0.495	-27.0478136140489
0.56	-27.0478136140489
0.6275	-80.1031403185294
0.6925	-75.9419382240603
0.76	-88.4255445074675
0.825	-72.8210366532085
0.8925	-94.6673476491711
0.9575	-95.7076481727883
1.0225	-97.7882492200229
1.09	-80.1031403185294
1.155	-93.6270471255538
1.22	-97.7882492200229
1.2875	-100.909150790875
1.3525	-110.27185550343
1.42	-100.909150790875
1.485	-83.2240418893812
1.55	-101.949451314492
1.6175	-106.110653408961
1.6825	-79.0628397949121
1.75	-114.433057597899
2.08	-114.433057597899
2.41	-117.553959168751
2.475	-113.392757074282
2.6075	-115.473358121516
