Radial Distance	B
0.0315	19.24
0.013	19.35
0.046	19.46
0.05575	19.57
0.0675	19.69
0.08175	19.79
0.099	19.88
0.1195	19.97
0.1315	20.01
0.14475	20.07
0.15925	20.15
0.17525	20.21
0.19275	20.25
0.212	20.28
0.233	20.32
0.2565	20.35
0.282	20.38
0.31025	20.39
0.34125	20.41
0.3755	20.44
0.413	20.45
0.455	20.45
0.5	20.43
0.55	20.48
0.605	20.5
0.665	20.46
0.7325	20.46
0.805	20.51
0.885	20.51
0.975	20.55
1.07	20.6
1.1775	20.68
1.295	20.85
1.425	20.91
1.5675	21.13
1.725	21.42
1.8975	21.68
2.0875	21.98
2.295	22.17
2.525	22.41
2.7775	22.8
3.055	23.19
3.3625	23.71
3.6975	24.3
