Radial Distance	V_obs	Error	V_gas	V_disk	V_bul
0.76	77	10	4.04	70.72	0
1.52	100	5	7.62	123.17	0
2.28	110	2	9.72	142.64	0
3.04	118	2	12.42	134.42	0
3.79	121	2	13.35	121.97	0
4.55	121	2	14.78	111.53	0
5.31	117	2	17.55	103.23	0
6.07	116	2	19.2	96.65	0
6.83	116	2	20.33	91.96	0
7.59	116	2	21.66	87.62	0
8.35	115	1	22.79	83.25	0
9.11	115	1	23.92	79.58	0
9.86	116	1	24.84	76.81	0
10.64	117	1	25.46	74.18	0
11.38	117	1	26.38	71.5	0
12.12	118	1	27.2	69.18	0
12.86	117	1	28.13	67.04	0
13.7	116	1	28.74	64.84	0
14.44	115	1	28.64	63.05	0
15.18	117	1	28.33	61.39	0
15.91	116	1	28.13	59.88	0
16.65	115	2	28.33	58.45	0
17.49	115	2	28.23	56.93	0
18.23	115	2	27.82	55.71	0
18.97	114	2	27.2	54.55	0
19.71	115	2	26.9	53.46	0
20.45	114	2	26.69	52.44	0
21.29	116	2	26.49	51.35	0
22.03	115	3	26.18	50.44	0
22.76	118	4	25.87	49.61	0
23.5	115	10	25.46	48.79	0
