Radial Distance	stellar_rot
0.1	14.5642073306417
0.165	13.5239068070244
0.23	16.6448083778762
0.2975	35.370217802987
0.3625	37.4508188502215
0.43	49.9344251336287
0.495	55.135927751715
0.56	57.2165287989495
0.6275	63.4583319406531
0.6925	68.6598345587395
0.76	80.1031403185294
0.825	85.3046429366157
0.89	85.3046429366157
0.9575	81.1434408421466
1.0225	92.5867466019365
1.09	88.4255445074675
1.155	94.6673476491711
1.255	94.6673476491711
1.385	105.070352885344
1.5175	113.392757074282
1.65	109.231554979813
1.815	106.110653408961
2.0125	106.110653408961
2.245	108.191254456195
2.575	116.513658645134
